Период;ID должности;Табельный номер;Город;Должность;ФИО;Месяц;Регион;Федеральный округ;Месяцев_поиска
2023-02-01;1297;2498;Айхал;главный персональный менеджер;Бобров Ж.;2023-02;Респ. Саха /Якутия/;ДФО;2
2023-03-01;1297;2498;Айхал;главный персональный менеджер;Бобров Ж.;2023-03;Респ. Саха /Якутия/;ДФО;3
2023-04-01;1297;2498;Айхал;главный персональный менеджер;Бобров Ж.;2023-04;Респ. Саха /Якутия/;ДФО;4
2023-05-01;1297;2498;Айхал;главный персональный менеджер;Бобров Ж.;2023-05;Респ. Саха /Якутия/;ДФО;5
2023-01-01;1298;2499;Богданович;эксперт;Иванов Л.;2023-01;Свердловская обл.;УФО;1
2023-02-01;1298;2499;Богданович;эксперт;Иванов Л.;2023-02;Свердловская обл.;УФО;2
2023-03-01;1298;2499;Богданович;эксперт;Иванов Л.;2023-03;Свердловская обл.;УФО;3
2023-04-01;1298;2499;Богданович;эксперт;Иванов Л.;2023-04;Свердловская обл.;УФО;4
2023-05-01;1298;2499;Богданович;эксперт;Иванов Л.;2023-05;Свердловская обл.;УФО;5
2023-01-01;1299;Резерв;Забайкальск;Резерв;;2023-01;Забайкальский край;ДФО;1
2023-02-01;1299;Резерв;Забайкальск;Резерв;;2023-02;Забайкальский край;ДФО;2
2023-03-01;1299;Резерв;Забайкальск;Резерв;;2023-03;Забайкальский край;ДФО;3
2023-04-01;1299;Резерв;Забайкальск;Резерв;;2023-04;Забайкальский край;ДФО;4
2023-05-01;1299;2500;Забайкальск;старший кассир;Сергеев Е.;2023-05;Забайкальский край;ДФО;5
2023-01-01;1300;Резерв;Петрозаводск;Резерв;;2023-01;Респ. Карелия;СЗФО;1
2023-02-01;1300;2501;Петрозаводск;управляющий операционным офисом;Сергеев Г.;2023-02;Респ. Карелия;СЗФО;2
2023-03-01;1300;Резерв;Петрозаводск;Резерв;;2023-03;Респ. Карелия;СЗФО;3
2023-04-01;1300;Резерв;Петрозаводск;Резерв;;2023-04;Респ. Карелия;СЗФО;4
2023-05-01;1300;2501;Петрозаводск;управляющий операционным офисом;Петров З.;2023-05;Респ. Карелия;СЗФО;5
2023-01-01;1301;Резерв;Нарьян-Мар;Резерв;;2023-01;Ненецкий АО;СЗФО;1
2023-02-01;1301;Резерв;Нарьян-Мар;Резерв;;2023-02;Ненецкий АО;СЗФО;2
2023-03-01;1301;2502;Нарьян-Мар;управляющий директор - начальник отдела;Корнеев Р.;2023-03;Ненецкий АО;СЗФО;3
2023-04-01;1301;Резерв;Нарьян-Мар;Резерв;;2023-04;Ненецкий АО;СЗФО;4
2023-05-01;1301;2502;Нарьян-Мар;управляющий директор - начальник отдела;Петров П.;2023-05;Ненецкий АО;СЗФО;5
2023-01-01;1302;2503;Сосновый Бор;эксперт;Сергеев М.;2023-01;Ленинградская обл.;СЗФО;1
2023-02-01;1302;Резерв;Нарьян-Мар;Резерв;;2023-02;Ненецкий АО;СЗФО;2
2023-03-01;1302;Резерв;Нарьян-Мар;Резерв;;2023-03;Ненецкий АО;СЗФО;3
2023-04-01;1302;Резерв;Нарьян-Мар;Резерв;;2023-04;Ненецкий АО;СЗФО;4
2023-05-01;1302;Резерв;Нарьян-Мар;Резерв;;2023-05;Ненецкий АО;СЗФО;5
2023-01-01;1303;2504;Татарск;директор по работе с состоятельными клиентами;Иванов О.;2023-01;Новосибирская обл.;СФО;1
2023-02-01;1303;2504;Татарск;директор по работе с состоятельными клиентами;Иванов О.;2023-02;Новосибирская обл.;СФО;2
2023-03-01;1303;2504;Татарск;директор по работе с состоятельными клиентами;Иванов О.;2023-03;Новосибирская обл.;СФО;3
2023-04-01;1303;2504;Татарск;директор по работе с состоятельными клиентами;Иванов О.;2023-04;Новосибирская обл.;СФО;4
2023-05-01;1303;2504;Татарск;директор по работе с состоятельными клиентами;Иванов О.;2023-05;Новосибирская обл.;СФО;5
2023-01-01;1304;2505;Пушкин;эксперт по работе с партнерами;Иванов К.;2023-01;г. Санкт-Петербург;СЗФО;1
2023-02-01;1304;2505;Пушкин;эксперт по работе с партнерами;Иванов К.;2023-02;г. Санкт-Петербург;СЗФО;2
2023-03-01;1304;2505;Пушкин;эксперт по работе с партнерами;Иванов К.;2023-03;г. Санкт-Петербург;СЗФО;3
2023-04-01;1304;2505;Пушкин;эксперт по работе с партнерами;Иванов К.;2023-04;г. Санкт-Петербург;СЗФО;4
2023-05-01;1304;2505;Пушкин;эксперт по работе с партнерами;Иванов К.;2023-05;г. Санкт-Петербург;СЗФО;5
2023-01-01;1305;2506;Октябрьский;ведущий специалист;Сергеев Р.;2023-01;Респ. Башкортостан;ПФО;1
2023-02-01;1305;2506;Октябрьский;ведущий специалист;Сергеев Р.;2023-02;Респ. Башкортостан;ПФО;2
2023-03-01;1305;2506;Октябрьский;ведущий специалист;Сергеев Р.;2023-03;Респ. Башкортостан;ПФО;3
2023-04-01;1305;2506;Октябрьский;ведущий специалист;Сергеев Р.;2023-04;Респ. Башкортостан;ПФО;4
2023-05-01;1305;2506;Октябрьский;ведущий специалист;Сергеев Р.;2023-05;Респ. Башкортостан;ПФО;5
2023-01-01;1306;2507;Алдан;эксперт по работе с партнерами;Петров Н.;2023-01;Респ. Саха /Якутия/;ДФО;1
2023-02-01;1306;2507;Алдан;эксперт по работе с партнерами;Петров Н.;2023-02;Респ. Саха /Якутия/;ДФО;2
2023-03-01;1306;2507;Алдан;эксперт по работе с партнерами;Петров Н.;2023-03;Респ. Саха /Якутия/;ДФО;3
2023-04-01;1306;2507;Алдан;эксперт по работе с партнерами;Петров Н.;2023-04;Респ. Саха /Якутия/;ДФО;4
2023-05-01;1306;2507;Алдан;эксперт по работе с партнерами;Петров Н.;2023-05;Респ. Саха /Якутия/;ДФО;5
2023-01-01;1307;2508;Лениногорск;управляющий директор - начальник отдела;Петров О.;2023-01;Респ. Татарстан;ПФО;1
2023-02-01;1307;2508;Лениногорск;управляющий директор - начальник отдела;Петров О.;2023-02;Респ. Татарстан;ПФО;2
2023-03-01;1307;2508;Лениногорск;управляющий директор - начальник отдела;Петров О.;2023-03;Респ. Татарстан;ПФО;3
2023-04-01;1307;2508;Лениногорск;управляющий директор - начальник отдела;Петров О.;2023-04;Респ. Татарстан;ПФО;4
2023-05-01;1307;2508;Лениногорск;управляющий директор - начальник отдела;Петров О.;2023-05;Респ. Татарстан;ПФО;5
2023-01-01;1308;2509;Воркута;ведущий специалист;Сергеев З.;2023-01;Респ. Коми;СЗФО;1
2023-02-01;1308;2509;Воркута;ведущий специалист;Сергеев З.;2023-02;Респ. Коми;СЗФО;2
2023-03-01;1308;2509;Воркута;ведущий специалист;Сергеев З.;2023-03;Респ. Коми;СЗФО;3
2023-04-01;1308;2509;Воркута;ведущий специалист;Сергеев З.;2023-04;Респ. Коми;СЗФО;4
2023-05-01;1308;2509;Воркута;ведущий специалист;Сергеев З.;2023-05;Респ. Коми;СЗФО;5
2023-01-01;1309;2510;Уссурийск;директор по работе с состоятельными клиентами;Бобров Г.;2023-01;Приморский край;ДФО;1
2023-02-01;1309;2510;Уссурийск;директор по работе с состоятельными клиентами;Бобров Г.;2023-02;Приморский край;ДФО;2
2023-03-01;1309;2510;Уссурийск;директор по работе с состоятельными клиентами;Бобров Г.;2023-03;Приморский край;ДФО;3
2023-04-01;1309;2510;Уссурийск;директор по работе с состоятельными клиентами;Бобров Г.;2023-04;Приморский край;ДФО;4
2023-05-01;1309;2510;Уссурийск;директор по работе с состоятельными клиентами;Бобров Г.;2023-05;Приморский край;ДФО;5
2023-01-01;1310;2511;Краснокаменск;главный персональный менеджер;Бобров С.;2023-01;Забайкальский край;ДФО;1
2023-02-01;1310;2511;Краснокаменск;главный персональный менеджер;Бобров С.;2023-02;Забайкальский край;ДФО;2
2023-03-01;1310;2511;Краснокаменск;главный персональный менеджер;Бобров С.;2023-03;Забайкальский край;ДФО;3
2023-04-01;1310;2511;Краснокаменск;главный персональный менеджер;Бобров С.;2023-04;Забайкальский край;ДФО;4
2023-05-01;1310;2511;Краснокаменск;главный персональный менеджер;Бобров С.;2023-05;Забайкальский край;ДФО;5
2023-01-01;1311;2512;Пихтулино;управляющий операционным офисом;Селезнев Ж.;2023-01;Чувашская Республика;ПФО;1
2023-02-01;1311;2512;Пихтулино;управляющий операционным офисом;Селезнев Ж.;2023-02;Чувашская Республика;ПФО;2
2023-03-01;1311;2512;Пихтулино;управляющий операционным офисом;Селезнев Ж.;2023-03;Чувашская Республика;ПФО;3
2023-04-01;1311;2512;Пихтулино;управляющий операционным офисом;Селезнев Ж.;2023-04;Чувашская Республика;ПФО;4
2023-05-01;1311;2512;Пихтулино;управляющий операционным офисом;Селезнев Ж.;2023-05;Чувашская Республика;ПФО;5
2023-01-01;1312;2513;Петергоф;руководитель группы;Иванов Е.;2023-01;г. Санкт-Петербург;СЗФО;1
2023-02-01;1312;2513;Петергоф;руководитель группы;Иванов Е.;2023-02;г. Санкт-Петербург;СЗФО;2
2023-03-01;1312;2513;Петергоф;руководитель группы;Иванов Е.;2023-03;г. Санкт-Петербург;СЗФО;3
2023-04-01;1312;2513;Петергоф;руководитель группы;Иванов Е.;2023-04;г. Санкт-Петербург;СЗФО;4
2023-05-01;1312;2513;Петергоф;руководитель группы;Иванов Е.;2023-05;г. Санкт-Петербург;СЗФО;5
2023-01-01;1313;2514;Воронеж;управляющий операционным офисом;Корнеев П.;2023-01;Воронежская обл.;ЦФО;1
2023-02-01;1313;2514;Воронеж;управляющий операционным офисом;Корнеев П.;2023-02;Воронежская обл.;ЦФО;2
2023-03-01;1313;2514;Воронеж;управляющий операционным офисом;Корнеев П.;2023-03;Воронежская обл.;ЦФО;3
2023-04-01;1313;2514;Воронеж;управляющий операционным офисом;Корнеев П.;2023-04;Воронежская обл.;ЦФО;4
2023-05-01;1313;2514;Воронеж;управляющий операционным офисом;Корнеев П.;2023-05;Воронежская обл.;ЦФО;5
2023-01-01;1314;2515;Йошкар-Ола;начальник отдела;Корнеев И.;2023-01;Респ. Марий Эл;ПФО;1
2023-02-01;1314;2515;Йошкар-Ола;начальник отдела;Корнеев И.;2023-02;Респ. Марий Эл;ПФО;2
2023-03-01;1314;2515;Йошкар-Ола;начальник отдела;Корнеев И.;2023-03;Респ. Марий Эл;ПФО;3
2023-04-01;1314;2515;Йошкар-Ола;начальник отдела;Корнеев И.;2023-04;Респ. Марий Эл;ПФО;4
2023-05-01;1314;2515;Йошкар-Ола;начальник отдела;Корнеев И.;2023-05;Респ. Марий Эл;ПФО;5
2023-01-01;1315;2516;Кемерово;управляющий директор;Сергеев Г.;2023-01;Кемеровская область - Кузбасс;СФО;1
2023-02-01;1315;2516;Кемерово;управляющий директор;Сергеев Г.;2023-02;Кемеровская область - Кузбасс;СФО;2
2023-03-01;1315;2516;Кемерово;управляющий директор;Сергеев Г.;2023-03;Кемеровская область - Кузбасс;СФО;3
2023-04-01;1315;2516;Кемерово;управляющий директор;Сергеев Г.;2023-04;Кемеровская область - Кузбасс;СФО;4
2023-05-01;1315;2516;Кемерово;управляющий директор;Сергеев Г.;2023-05;Кемеровская область - Кузбасс;СФО;5
2023-01-01;1316;2517;Талица;офис-менеджер;Бобров К.;2023-01;Свердловская обл.;УФО;1
2023-02-01;1316;2517;Талица;офис-менеджер;Бобров К.;2023-02;Свердловская обл.;УФО;2
2023-03-01;1316;2517;Талица;офис-менеджер;Бобров К.;2023-03;Свердловская обл.;УФО;3
2023-04-01;1316;2517;Талица;офис-менеджер;Бобров К.;2023-04;Свердловская обл.;УФО;4
2023-05-01;1316;2517;Талица;офис-менеджер;Бобров К.;2023-05;Свердловская обл.;УФО;5
2023-01-01;1317;2518;Верещагино;младший специалист;Иванов И.;2023-01;Пермский край;ПФО;1
2023-02-01;1317;2518;Верещагино;младший специалист;Иванов И.;2023-02;Пермский край;ПФО;2
2023-03-01;1317;2518;Верещагино;младший специалист;Иванов И.;2023-03;Пермский край;ПФО;3
2023-04-01;1317;2518;Верещагино;младший специалист;Иванов И.;2023-04;Пермский край;ПФО;4
2023-05-01;1317;2518;Верещагино;младший специалист;Иванов И.;2023-05;Пермский край;ПФО;5
2023-01-01;1318;2519;Советский;управляющий директор - начальник отдела;Иванов Д.;2023-01;Ханты-Мансийский Автономный округ - Югра;УФО;1
2023-02-01;1318;2519;Советский;управляющий директор - начальник отдела;Иванов Д.;2023-02;Ханты-Мансийский Автономный округ - Югра;УФО;2
2023-03-01;1318;2519;Советский;управляющий директор - начальник отдела;Иванов Д.;2023-03;Ханты-Мансийский Автономный округ - Югра;УФО;3
2023-04-01;1318;2519;Советский;управляющий директор - начальник отдела;Иванов Д.;2023-04;Ханты-Мансийский Автономный округ - Югра;УФО;4
2023-05-01;1318;2519;Советский;управляющий директор - начальник отдела;Иванов Д.;2023-05;Ханты-Мансийский Автономный округ - Югра;УФО;5
2023-01-01;1319;2520;Арзамас;директор по работе с состоятельными клиентами;Бобров Ю.;2023-01;Нижегородская обл.;ПФО;1
2023-02-01;1319;2520;Арзамас;директор по работе с состоятельными клиентами;Бобров Ю.;2023-02;Нижегородская обл.;ПФО;2
2023-03-01;1319;2520;Арзамас;директор по работе с состоятельными клиентами;Бобров Ю.;2023-03;Нижегородская обл.;ПФО;3
2023-04-01;1319;2520;Арзамас;директор по работе с состоятельными клиентами;Бобров Ю.;2023-04;Нижегородская обл.;ПФО;4
2023-05-01;1319;2520;Арзамас;директор по работе с состоятельными клиентами;Бобров Ю.;2023-05;Нижегородская обл.;ПФО;5
2023-01-01;1320;2521;Ершов;главный менеджер;Сергеев К.;2023-01;Саратовская обл.;ПФО;1
2023-02-01;1320;2521;Ершов;главный менеджер;Сергеев К.;2023-02;Саратовская обл.;ПФО;2
2023-03-01;1320;2521;Ершов;главный менеджер;Сергеев К.;2023-03;Саратовская обл.;ПФО;3
2023-04-01;1320;2521;Ершов;главный менеджер;Сергеев К.;2023-04;Саратовская обл.;ПФО;4
2023-05-01;1320;2521;Ершов;главный менеджер;Сергеев К.;2023-05;Саратовская обл.;ПФО;5
2023-01-01;1321;2522;Тольятти;главный специалист;Иванов Ю.;2023-01;Самарская обл.;ПФО;1
2023-02-01;1321;2522;Тольятти;главный специалист;Иванов Ю.;2023-02;Самарская обл.;ПФО;2
2023-03-01;1321;2522;Тольятти;главный специалист;Иванов Ю.;2023-03;Самарская обл.;ПФО;3
2023-04-01;1321;2522;Тольятти;главный специалист;Иванов Ю.;2023-04;Самарская обл.;ПФО;4
2023-05-01;1321;2522;Тольятти;главный специалист;Иванов Ю.;2023-05;Самарская обл.;ПФО;5
2023-01-01;1322;2523;Сибай;ведущий специалист;Иванов Н.;2023-01;Респ. Башкортостан;ПФО;1
2023-02-01;1322;2523;Сибай;ведущий специалист;Иванов Н.;2023-02;Респ. Башкортостан;ПФО;2
2023-03-01;1322;2523;Сибай;ведущий специалист;Иванов Н.;2023-03;Респ. Башкортостан;ПФО;3
2023-04-01;1322;2523;Сибай;ведущий специалист;Иванов Н.;2023-04;Респ. Башкортостан;ПФО;4
2023-05-01;1322;2523;Сибай;ведущий специалист;Иванов Н.;2023-05;Респ. Башкортостан;ПФО;5
2023-01-01;1323;2524;Прокопьевск;офис-менеджер;Сергеев Я.;2023-01;Кемеровская область - Кузбасс;СФО;1
2023-02-01;1323;2524;Прокопьевск;офис-менеджер;Сергеев Я.;2023-02;Кемеровская область - Кузбасс;СФО;2
2023-03-01;1323;2524;Прокопьевск;офис-менеджер;Сергеев Я.;2023-03;Кемеровская область - Кузбасс;СФО;3
2023-04-01;1323;2524;Прокопьевск;офис-менеджер;Сергеев Я.;2023-04;Кемеровская область - Кузбасс;СФО;4
2023-05-01;1323;2524;Прокопьевск;офис-менеджер;Сергеев Я.;2023-05;Кемеровская область - Кузбасс;СФО;5
2023-01-01;1324;2525;Казань;главный клиентский менеджер розничного бизнеса;Бобров Б.;2023-01;Респ. Татарстан;ПФО;1
2023-02-01;1324;2525;Казань;главный клиентский менеджер розничного бизнеса;Бобров Б.;2023-02;Респ. Татарстан;ПФО;2
2023-03-01;1324;2525;Казань;главный клиентский менеджер розничного бизнеса;Бобров Б.;2023-03;Респ. Татарстан;ПФО;3
2023-04-01;1324;2525;Казань;главный клиентский менеджер розничного бизнеса;Бобров Б.;2023-04;Респ. Татарстан;ПФО;4
2023-05-01;1324;2525;Казань;главный клиентский менеджер розничного бизнеса;Бобров Б.;2023-05;Респ. Татарстан;ПФО;5
2023-01-01;1325;2526;Воскресенск;директор;Петров О.;2023-01;Московская обл.;ЦФО;1
2023-02-01;1325;2526;Воскресенск;директор;Петров О.;2023-02;Московская обл.;ЦФО;2
2023-03-01;1325;2526;Воскресенск;директор;Петров О.;2023-03;Московская обл.;ЦФО;3
2023-04-01;1325;2526;Воскресенск;директор;Петров О.;2023-04;Московская обл.;ЦФО;4
2023-05-01;1325;2526;Воскресенск;директор;Петров О.;2023-05;Московская обл.;ЦФО;5
2023-01-01;1326;2527;Анжеро-Судженск;директор;Корнеев И.;2023-01;Кемеровская область - Кузбасс;СФО;1
2023-02-01;1326;2527;Анжеро-Судженск;директор;Корнеев И.;2023-02;Кемеровская область - Кузбасс;СФО;2
2023-03-01;1326;2527;Анжеро-Судженск;директор;Корнеев И.;2023-03;Кемеровская область - Кузбасс;СФО;3
2023-04-01;1326;2527;Анжеро-Судженск;директор;Корнеев И.;2023-04;Кемеровская область - Кузбасс;СФО;4
2023-05-01;1326;2527;Анжеро-Судженск;директор;Корнеев И.;2023-05;Кемеровская область - Кузбасс;СФО;5
2023-01-01;1327;2528;Сегежа;управляющий директор;Бобров З.;2023-01;Респ. Карелия;СЗФО;1
2023-02-01;1327;2528;Сегежа;управляющий директор;Бобров З.;2023-02;Респ. Карелия;СЗФО;2
2023-03-01;1327;2528;Сегежа;управляющий директор;Бобров З.;2023-03;Респ. Карелия;СЗФО;3
2023-04-01;1327;2528;Сегежа;управляющий директор;Бобров З.;2023-04;Респ. Карелия;СЗФО;4
2023-05-01;1327;2528;Сегежа;управляющий директор;Бобров З.;2023-05;Респ. Карелия;СЗФО;5
2023-01-01;1328;2529;Белоярский;начальник отдела;Селезнев Я.;2023-01;Ханты-Мансийский Автономный округ - Югра;УФО;1
2023-02-01;1328;2529;Белоярский;начальник отдела;Селезнев Я.;2023-02;Ханты-Мансийский Автономный округ - Югра;УФО;2
2023-03-01;1328;2529;Белоярский;начальник отдела;Селезнев Я.;2023-03;Ханты-Мансийский Автономный округ - Югра;УФО;3
2023-04-01;1328;2529;Белоярский;начальник отдела;Селезнев Я.;2023-04;Ханты-Мансийский Автономный округ - Югра;УФО;4
2023-05-01;1328;2529;Белоярский;начальник отдела;Селезнев Я.;2023-05;Ханты-Мансийский Автономный округ - Югра;УФО;5
2023-01-01;1329;2530;Серов;директор по работе с состоятельными клиентами;Селезнев П.;2023-01;Свердловская обл.;УФО;1
2023-02-01;1329;2530;Серов;директор по работе с состоятельными клиентами;Селезнев П.;2023-02;Свердловская обл.;УФО;2
2023-03-01;1329;2530;Серов;директор по работе с состоятельными клиентами;Селезнев П.;2023-03;Свердловская обл.;УФО;3
2023-04-01;1329;2530;Серов;директор по работе с состоятельными клиентами;Селезнев П.;2023-04;Свердловская обл.;УФО;4
2023-05-01;1329;2530;Серов;директор по работе с состоятельными клиентами;Селезнев П.;2023-05;Свердловская обл.;УФО;5
2023-01-01;1330;2531;Когалым;главный кредитный аналитик;Корнеев К.;2023-01;Ханты-Мансийский Автономный округ - Югра;УФО;1
2023-02-01;1330;Резерв;Серов;Резерв;;2023-02;Свердловская обл.;УФО;2
2023-03-01;1330;Резерв;Серов;Резерв;;2023-03;Свердловская обл.;УФО;3
2023-04-01;1330;Резерв;Серов;Резерв;;2023-04;Свердловская обл.;УФО;4
2023-05-01;1330;Резерв;Серов;Резерв;;2023-05;Свердловская обл.;УФО;5
2023-01-01;1331;2532;Димитровград;младший специалист;Селезнев Т.;2023-01;Ульяновская обл.;ПФО;1
2023-02-01;1331;2532;Димитровград;младший специалист;Селезнев Т.;2023-02;Ульяновская обл.;ПФО;2
2023-03-01;1331;2532;Димитровград;младший специалист;Селезнев Т.;2023-03;Ульяновская обл.;ПФО;3
2023-04-01;1331;2532;Димитровград;младший специалист;Селезнев Т.;2023-04;Ульяновская обл.;ПФО;4
2023-05-01;1331;2532;Димитровград;младший специалист;Селезнев Т.;2023-05;Ульяновская обл.;ПФО;5
2023-01-01;1332;2533;Черемхово;главный менеджер;Бобров С.;2023-01;Иркутская обл.;СФО;1
2023-02-01;1332;2533;Черемхово;главный менеджер;Бобров С.;2023-02;Иркутская обл.;СФО;2
2023-03-01;1332;2533;Черемхово;главный менеджер;Бобров С.;2023-03;Иркутская обл.;СФО;3
2023-04-01;1332;2533;Черемхово;главный менеджер;Бобров С.;2023-04;Иркутская обл.;СФО;4
2023-05-01;1332;2533;Черемхово;главный менеджер;Бобров С.;2023-05;Иркутская обл.;СФО;5
2023-01-01;1333;2534;Гусь-Хрустальный;директор;Петров О.;2023-01;Владимирская обл.;ЦФО;1
2023-02-01;1333;2534;Гусь-Хрустальный;директор;Петров О.;2023-02;Владимирская обл.;ЦФО;2
2023-03-01;1333;2534;Гусь-Хрустальный;директор;Петров О.;2023-03;Владимирская обл.;ЦФО;3
2023-04-01;1333;2534;Гусь-Хрустальный;директор;Петров О.;2023-04;Владимирская обл.;ЦФО;4
2023-05-01;1333;2534;Гусь-Хрустальный;директор;Петров О.;2023-05;Владимирская обл.;ЦФО;5
2023-01-01;1334;2535;Иркутск;ведущий специалист;Корнеев О.;2023-01;Иркутская обл.;СФО;1
2023-02-01;1334;2535;Иркутск;ведущий специалист;Корнеев О.;2023-02;Иркутская обл.;СФО;2
2023-03-01;1334;2535;Иркутск;ведущий специалист;Корнеев О.;2023-03;Иркутская обл.;СФО;3
2023-04-01;1334;2535;Иркутск;ведущий специалист;Корнеев О.;2023-04;Иркутская обл.;СФО;4
2023-05-01;1334;2535;Иркутск;ведущий специалист;Корнеев О.;2023-05;Иркутская обл.;СФО;5
2023-01-01;1335;2536;Краснокаменск;главный менеджер эквайринга;Сергеев Е.;2023-01;Забайкальский край;ДФО;1
2023-02-01;1335;2536;Краснокаменск;главный менеджер эквайринга;Сергеев Е.;2023-02;Забайкальский край;ДФО;2
2023-03-01;1335;2536;Краснокаменск;главный менеджер эквайринга;Сергеев Е.;2023-03;Забайкальский край;ДФО;3
2023-04-01;1335;2536;Краснокаменск;главный менеджер эквайринга;Сергеев Е.;2023-04;Забайкальский край;ДФО;4
2023-05-01;1335;2536;Краснокаменск;главный менеджер эквайринга;Сергеев Е.;2023-05;Забайкальский край;ДФО;5
2023-01-01;1336;2537;Советская Гавань;главный кредитный аналитик;Селезнев Д.;2023-01;Хабаровский край;ДФО;1
2023-02-01;1336;2537;Советская Гавань;главный кредитный аналитик;Селезнев Д.;2023-02;Хабаровский край;ДФО;2
2023-03-01;1336;2537;Советская Гавань;главный кредитный аналитик;Селезнев Д.;2023-03;Хабаровский край;ДФО;3
2023-04-01;1336;2537;Советская Гавань;главный кредитный аналитик;Селезнев Д.;2023-04;Хабаровский край;ДФО;4
2023-05-01;1336;2537;Советская Гавань;главный кредитный аналитик;Селезнев Д.;2023-05;Хабаровский край;ДФО;5
2023-01-01;1337;2538;Волоколамск;старший кредитный аналитик;Иванов Б.;2023-01;Московская обл.;ЦФО;1
2023-02-01;1337;2538;Волоколамск;старший кредитный аналитик;Иванов Б.;2023-02;Московская обл.;ЦФО;2
2023-03-01;1337;2538;Волоколамск;старший кредитный аналитик;Иванов Б.;2023-03;Московская обл.;ЦФО;3
2023-04-01;1337;2538;Волоколамск;старший кредитный аналитик;Иванов Б.;2023-04;Московская обл.;ЦФО;4
2023-05-01;1337;2538;Волоколамск;старший кредитный аналитик;Иванов Б.;2023-05;Московская обл.;ЦФО;5
2023-01-01;1338;2539;Заречный;управляющий директор;Бобров И.;2023-01;Пензенская обл.;ПФО;1
2023-02-01;1338;2539;Заречный;управляющий директор;Бобров И.;2023-02;Пензенская обл.;ПФО;2
2023-03-01;1338;2539;Заречный;управляющий директор;Бобров И.;2023-03;Пензенская обл.;ПФО;3
2023-04-01;1338;2539;Заречный;управляющий директор;Бобров И.;2023-04;Пензенская обл.;ПФО;4
2023-05-01;1338;2539;Заречный;управляющий директор;Бобров И.;2023-05;Пензенская обл.;ПФО;5
2023-01-01;1339;2540;Клинцы;главный специалист;Бобров З.;2023-01;Брянская обл.;ЦФО;1
2023-02-01;1339;2540;Клинцы;главный специалист;Бобров З.;2023-02;Брянская обл.;ЦФО;2
2023-03-01;1339;2540;Клинцы;главный специалист;Бобров З.;2023-03;Брянская обл.;ЦФО;3
2023-04-01;1339;2540;Клинцы;главный специалист;Бобров З.;2023-04;Брянская обл.;ЦФО;4
2023-05-01;1339;2540;Клинцы;главный специалист;Бобров З.;2023-05;Брянская обл.;ЦФО;5
2023-01-01;1340;2541;Благовещенск;офис-менеджер;Бобров Н.;2023-01;Амурская обл.;ДФО;1
2023-02-01;1340;2541;Благовещенск;офис-менеджер;Бобров Н.;2023-02;Амурская обл.;ДФО;2
2023-03-01;1340;2541;Благовещенск;офис-менеджер;Бобров Н.;2023-03;Амурская обл.;ДФО;3
2023-04-01;1340;2541;Благовещенск;офис-менеджер;Бобров Н.;2023-04;Амурская обл.;ДФО;4
2023-05-01;1340;2541;Благовещенск;офис-менеджер;Бобров Н.;2023-05;Амурская обл.;ДФО;5
2023-01-01;1341;2542;Полярный;начальник отдела;Корнеев Г.;2023-01;Мурманская обл.;СЗФО;1
2023-02-01;1341;2542;Полярный;начальник отдела;Корнеев Г.;2023-02;Мурманская обл.;СЗФО;2
2023-03-01;1341;2542;Полярный;начальник отдела;Корнеев Г.;2023-03;Мурманская обл.;СЗФО;3
2023-04-01;1341;2542;Полярный;начальник отдела;Корнеев Г.;2023-04;Мурманская обл.;СЗФО;4
2023-05-01;1341;2542;Полярный;начальник отдела;Корнеев Г.;2023-05;Мурманская обл.;СЗФО;5
2023-01-01;1342;2543;Усолье-Сибирское;клиентский менеджер;Селезнев Л.;2023-01;Иркутская обл.;СФО;1
2023-02-01;1342;2543;Усолье-Сибирское;клиентский менеджер;Селезнев Л.;2023-02;Иркутская обл.;СФО;2
2023-03-01;1342;2543;Усолье-Сибирское;клиентский менеджер;Селезнев Л.;2023-03;Иркутская обл.;СФО;3
2023-04-01;1342;2543;Усолье-Сибирское;клиентский менеджер;Селезнев Л.;2023-04;Иркутская обл.;СФО;4
2023-05-01;1342;2543;Усолье-Сибирское;клиентский менеджер;Селезнев Л.;2023-05;Иркутская обл.;СФО;5
2023-01-01;1343;2544;Москва;старший кассир;Корнеев Я.;2023-01;г. Москва;ЦФО;1
2023-02-01;1343;2544;Москва;старший кассир;Корнеев Я.;2023-02;г. Москва;ЦФО;2
2023-03-01;1343;2544;Москва;старший кассир;Корнеев Я.;2023-03;г. Москва;ЦФО;3
2023-04-01;1343;2544;Москва;старший кассир;Корнеев Я.;2023-04;г. Москва;ЦФО;4
2023-05-01;1343;2544;Москва;старший кассир;Корнеев Я.;2023-05;г. Москва;ЦФО;5
2023-01-01;1344;2545;Холмск;клиентский менеджер;Корнеев Е.;2023-01;Сахалинская обл.;ДФО;1
2023-02-01;1344;2545;Холмск;клиентский менеджер;Корнеев Е.;2023-02;Сахалинская обл.;ДФО;2
2023-03-01;1344;2545;Холмск;клиентский менеджер;Корнеев Е.;2023-03;Сахалинская обл.;ДФО;3
2023-04-01;1344;2545;Холмск;клиентский менеджер;Корнеев Е.;2023-04;Сахалинская обл.;ДФО;4
2023-05-01;1344;2545;Холмск;клиентский менеджер;Корнеев Е.;2023-05;Сахалинская обл.;ДФО;5
2023-01-01;1345;2546;Калуга;управляющий операционным офисом;Сергеев К.;2023-01;Калужская обл.;ЦФО;1
